colour	x	y	group	showSelectedlegendcolour	showSelected.variable	showSelected.value	PANEL
#EE82EE	0	1.10499310824741	1	prediction	degrees01	3	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	4	1
#EE82EE	0	0.902940524887808	1	prediction	degrees01	5	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	7	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	10	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	14	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	19	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	26	1
#EE82EE	0	0.510229754952546	1	prediction	degrees01	35	1
#EE82EE	0	0.309721671230164	1	prediction	degrees01	48	1
#EE82EE	0	0.962707503353518	1	prediction	degrees01	65	1
#EE82EE	0	0.931302631848265	1	prediction	degrees01	88	1
#EE82EE	0	0.812878134901227	1	prediction	degrees01	119	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	162	1
#EE82EE	0	0.836567682049969	1	prediction	degrees01	219	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	297	1
#EE82EE	0	0.295481923556903	1	prediction	degrees01	402	1
#EE82EE	0	0.523611872679008	1	prediction	degrees01	545	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	738	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	1000	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	3	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	4	1
#EE82EE	0.0411749342441592	0.902869834462467	1	prediction	degrees01	5	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	7	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	10	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	14	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	19	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	26	1
#EE82EE	0.0411749342441592	0.510555488414556	1	prediction	degrees01	35	1
#EE82EE	0.0411749342441592	0.310227281515016	1	prediction	degrees01	48	1
#EE82EE	0.0411749342441592	0.962663390270196	1	prediction	degrees01	65	1
#EE82EE	0.0411749342441592	0.931157394057606	1	prediction	degrees01	88	1
#EE82EE	0.0411749342441592	0.812886564960469	1	prediction	degrees01	119	1
#EE82EE	0.0411749342441592	-0.0937698715198084	1	prediction	degrees01	162	1
#EE82EE	0.0411749342441592	0.836719836472713	1	prediction	degrees01	219	1
#EE82EE	0.0411749342441592	-0.0937698715198084	1	prediction	degrees01	297	1
